2024-09-11 06:41:27 install libpam-modules:amd64 <none> 1.4.0-11ubuntu2
2024-09-11 06:41:27 status half-installed libpam-modules:amd64 1.4.0-11ubuntu2
2024-09-11 06:41:27 status unpacked libpam-modules:amd64 1.4.0-11ubuntu2
2024-09-11 06:41:27 install libpam-modules-bin:amd64 <none> 1.4.0-11ubuntu2
2024-09-11 06:41:27 status half-installed libpam-modules-bin:amd64 1.4.0-11ubuntu2
2024-09-11 06:41:27 status unpacked libpam-modules-bin:amd64 1.4.0-11ubuntu2
2024-09-11 06:41:27 install libpam-runtime:all <none> 1.4.0-11ubuntu2
2024-09-11 06:41:27 status half-installed libpam-runtime:all 1.4.0-11ubuntu2
2024-09-11 06:41:27 status unpacked libpam-runtime:all 1.4.0-11ubuntu2
2024-09-11 06:41:27 install libpam0g:amd64 <none> 1.4.0-11ubuntu2
2024-09-11 06:41:27 status half-installed libpam0g:amd64 1.4.0-11ubuntu2
2024-09-11 06:41:27 status unpacked libpam0g:amd64 1.4.0-11ubuntu2
2024-09-11 06:41:27 install libpcre2-8-0:amd64 <none> 10.39-3build1
2024-09-11 06:41:27 status half-installed libpcre2-8-0:amd64 10.39-3build1
2024-09-11 06:41:27 status unpacked libpcre2-8-0:amd64 10.39-3build1
2024-09-11 06:41:27 install libpcre3:amd64 <none> 2:8.39-13build5
2024-09-11 06:41:27 status half-installed libpcre3:amd64 2:8.39-13build5
2024-09-11 06:41:27 status unpacked libpcre3:amd64 2:8.39-13build5
2024-09-11 06:41:27 install libprocps8:amd64 <none> 2:3.3.17-6ubuntu2
2024-09-11 06:41:27 status half-installed libprocps8:amd64 2:3.3.17-6ubuntu2
2024-09-11 06:41:27 status unpacked libprocps8:amd64 2:3.3.17-6ubuntu2
2024-09-11 06:41:27 install libselinux1:amd64 <none> 3.3-1build2
2024-09-11 06:41:27 status half-installed libselinux1:amd64 3.3-1build2
2024-09-11 06:41:27 status unpacked libselinux1:amd64 3.3-1build2
2024-09-11 06:41:27 install libsemanage-common:all <none> 3.3-1build2
2024-09-11 06:41:27 status half-installed libsemanage-common:all 3.3-1build2
2024-09-11 06:41:27 status unpacked libsemanage-common:all 3.3-1build2
2024-09-11 06:41:27 install libsemanage2:amd64 <none> 3.3-1build2
2024-09-11 06:41:27 status half-installed libsemanage2:amd64 3.3-1build2
2024-09-11 06:41:27 status unpacked libsemanage2:amd64 3.3-1build2
2024-09-11 06:41:27 install libsepol2:amd64 <none> 3.3-1build1
2024-09-11 06:41:27 status half-installed libsepol2:amd64 3.3-1build1
